IFNG	TIMP1	0.025
IFNG	PDGFB	0.025
IFNG	IL1RN	0.0625
IFNG	IL1A	0.0125
IFNG	SMAD2	0.05
IFNG	SMAD3	0.0375
IFNG	SPARC	0.0125
IFNG	TGFBR1	0.025
IFNG	VCAM1	0.0125
IFNG	TNF	0.0125
SERPINH1	TIMP1	0.025
SERPINH1	SPP1	0.05
SERPINH1	SFTPB	0.0625
SERPINH1	SMAD2	0.075
SERPINH1	SMAD3	0.0625
SERPINH1	SPARC	0.15
SERPINH1	TGFBR1	0.0875
SERPINH1	VCAM1	0.1
SERPINH1	TNF	0.05
SERPINH1	TOLLIP	0.05
CCL3	CXCL9	0.08
CCL3	IL18	0.0125
CCL3	CCL4	0.0525
CCL3	CXCL10	0.04
CCL3	CCL5	0.08
CCL3	SPARC	0.04
CCL3	TNF	0.0125
EDN1	IL18	0.0125
EDN1	MMP9	0.025
EDN1	TIMP1	0.0125
EDN1	PDGFB	0.2125
EDN1	FASLG	0.0625
EDN1	MMP1	0.0125
EDN1	FGF2	0.1125
EDN1	SCGB1A1	0.05
EDN1	FGF7	0.15
EDN1	IL1RN	0.0125
EDN1	IGFBP5	0.15
EDN1	IL1R1	0.0125
EDN1	SPP1	0.1
EDN1	SFTPB	0.025
EDN1	FHIT	0.05
EDN1	SMAD2	0.0375
EDN1	MUC1	0.0625
EDN1	SMAD3	0.025
EDN1	SPARC	0.0625
EDN1	TGFBR1	0.15
EDN1	VCAM1	0.025
EDN1	TNF	0.0125
EDN1	TOLLIP	0.0125
EDN1	POSTN	0.0625
EDN1	ELMOD2	0.1
CXCL9	MMP9	0.05
CXCL9	TIMP1	0.0125
CXCL9	PDGFB	0.0125
CXCL9	HGF	0.0125
CXCL9	FASLG	0.025
CXCL9	FGF2	0.05
CXCL9	SCGB1A1	0.05
CXCL9	FGF7	0.05
CXCL9	CXCR2	0.0125
CXCL9	IGFBP5	0.05
CXCL9	SPP1	0.0125
CXCL9	SFTPB	0.05
CXCL9	IL1A	0.0625
CXCL9	MUC1	0.0625
CXCL9	SMAD3	0.0125
CXCL9	CXCR1	0.025
CXCL9	TNF	0.0125
CXCL9	NLRC4	0.0625
IL18	IL1RN	0.05
IL18	IL1R1	0.0125
IL18	MUC1	0.05
IL18	SMAD3	0.05
IL18	TGFBR1	0.0125
IL18	TNF	0.025
MMP9	PDGFB	0.0875
MMP9	SCGB1A1	0.1
MMP9	SFTPB	0.0625
MMP9	SMAD2	0.125
MMP9	MUC1	0.0625
MMP9	SMAD3	0.0375
MMP9	SPARC	0.115
MMP9	TGFBR1	0.0625
MMP9	TNF	0.0125
MMP9	TOLLIP	0.05
MMP9	NLRC4	0.05
MMP9	NOX4	0.0125
CCL4	FGF2	0.0125
CCL4	CCL5	0.12
CCL4	CCR4	0.04
CCL4	SMAD3	0.0125
CCL4	TNF	0.0125
CXCL12	PDGFB	0.05
CXCL12	HGF	0.05
CXCL12	FASLG	0.0875
CXCL12	SCGB1A1	0.05
CXCL12	FGF7	0.05
CXCL12	IGFBP5	0.0625
CXCL12	SPP1	0.0125
CXCL12	SMAD2	0.1875
CXCL12	MUC1	0.2
CXCL12	SMAD3	0.0125
CXCL12	SPARC	0.1
CXCL12	TGFBR1	0.05
CXCL12	VCAM1	0.105
CXCL12	TNF	0.05
CXCL12	POSTN	0.05
CXCL12	ELMOD2	0.0125
TIMP1	VCAM1	0.0125
PDGFB	SCGB1A1	0.05
PDGFB	SMAD2	0.1125
PDGFB	SMAD3	0.025
PDGFB	SPARC	0.3325
PDGFB	TGFBR1	0.25
PDGFB	VCAM1	0.12
PDGFB	TNF	0.125
PDGFB	TOLLIP	0.0625
PDGFB	POSTN	0.0625
HGF	SCGB1A1	0.05
HGF	SMAD2	0.1125
HGF	MUC1	0.05
HGF	SMAD3	0.025
HGF	VCAM1	0.0125
FASLG	FGF2	0.075
FASLG	SCGB1A1	0.05
FASLG	FGF7	0.05
FASLG	SPP1	0.1
FASLG	IL1A	0.05
FASLG	SMAD2	0.0375
FASLG	MUC1	0.0625
FASLG	SMAD3	0.0125
FASLG	SPARC	0.05
FASLG	VCAM1	0.05
FASLG	TNF	0.0125
MMP1	SMAD2	0.025
MMP1	MUC1	0.0125
MMP1	SMAD3	0.0125
MMP1	TNF	0.0125
FGF2	SCGB1A1	0.05
FGF2	FGF7	0.125
FGF2	IGFBP5	0.175
FGF2	IL1R1	0.025
FGF2	SPP1	0.05
FGF2	SFTPB	0.0625
FGF2	IL1A	0.05
FGF2	FHIT	0.1
FGF2	SMAD2	0.075
FGF2	MUC1	0.05
FGF2	SMAD3	0.1625
FGF2	SPARC	0.075
FGF2	TGFBR1	0.1875
FGF2	VCAM1	0.0625
FGF2	TNF	0.0125
FGF2	TOLLIP	0.05
FGF2	NLRC4	0.05
FGF2	POSTN	0.05
SCGB1A1	SPP1	0.1
SCGB1A1	SFTPB	0.05
SCGB1A1	SMAD2	0.1
SCGB1A1	VCAM1	0.05
SCGB1A1	TNF	0.05
